Delta_Mean,Theta_Mean,Alpha_Mean,Beta_Mean,Gamma_Mean,Dream_Description,Cluster
0.39522265,0.341715411,0.887777075,0.369371855,0.23615956125,"Walking through an old town, feeling nostalgic as you observe people.",0
0.19325385,0.1976986775,0.5440424925,0.1734766724999999,0.2785988749999999,"Walking through a tranquil forest, listening to the sound of rustling leaves.",1
0.5421354675,0.48379382161,0.6250792825,0.3324108215,0.021437947,"Walking through an old town, feeling nostalgic as you observe people.",3
0.419791845,0.5789872174999999,0.993653975,0.508740875,0.1261751105,"Standing in a lush green meadow, feeling the warm sunlight on your skin.",0
0.249741595,0.3781420275,1.0149749675,0.47909107,0.29821972,"Reliving a cherished memory, seeing familiar faces and places.",0
0.6821581025,0.32780023675,0.535933125,0.1883720804999999,0.17976133375,"Drifting in an endless dark space, floating weightlessly.",1
0.0625264757499999,0.04509493275,0.0402454375,0.07530377075,0.26924112,"Diving into the depths of the ocean, surrounded by glowing sea creatures.",2
0.29699238475,0.4193659725,0.66894743,0.2681954425,0.27136296825,"Floating in a small boat on a calm lake, watching the moon reflect on the water.",1
0.2521184875,0.439136505,0.5115273037500001,0.19843789,0.2795212925,"Standing in a lush green meadow, feeling the warm sunlight on your skin.",1
0.594276025,0.5952530375,0.60722685,0.093537532,0.1856200962499999,"A peaceful dream of sitting on the beach, watching the sunset while birds fly overhead.",1
0.4797562135,0.326816409175,0.5821368275000001,0.223368928,0.15629967,"A deep, introspective dream where thoughts flow like a gentle stream.",1
0.5781635799999999,0.481745835,0.5597105025000001,0.190472195,0.2318785265,"Drifting in an endless dark space, floating weightlessly.",1
0.3524802375,0.4062051,0.5715131895,0.147423485,0.15786237943,"Walking through a tranquil forest, listening to the sound of rustling leaves.",1
0.10311856325,0.1855217475,0.10395632675,0.1812843945,0.1604417365,"Flying high above mountains, feeling the wind rushing past as you soar.",2
0.9229625225,0.928253455,0.8540404,0.25007853125,0.1332158085,"Standing in a lush green meadow, feeling the warm sunlight on your skin.",3
0.2030885607499999,0.0888207525,0.2239364804999999,0.29217519025,0.13059775175,"Flying high above mountains, feeling the wind rushing past as you soar.",2
0.052376266,0.0001732625,0.50185351,0.15868734395,0.20003897675,"Walking through an old town, feeling nostalgic as you observe people.",2
0.25426554125,0.2557209675,0.4942963525,0.233067848925,0.125069011,"A peaceful dream of sitting on the beach, watching the sunset while birds fly overhead.",2
0.289414925,0.1185365663075,0.25843217125,0.307305205,0.1191144,"Exploring an ancient temple hidden deep in the jungle, filled with secrets.",2
0.205084618,0.2100134175,0.469815391,0.1911300249999999,0.2006692065,"A peaceful dream of sitting on the beach, watching the sunset while birds fly overhead.",1
0.5806629325,0.224275315,0.563486135,0.2079487187499999,0.077997332675,"An unclear dream where time feels frozen, but emotions linger.",3
0.9088276925,0.447707458,0.6149393805000001,0.3944596275,0.157032919,"A deep, dreamless sleep with faint echoes of distant voices.",3
0.378725492025,0.429779805,0.640006095,0.308813445,0.11469337,"A peaceful dream of sitting on the beach, watching the sunset while birds fly overhead.",3
0.6379452274999999,0.2128505475,0.6287930975,0.3603862399999999,0.20202473725,"Drifting in an endless dark space, floating weightlessly.",0
0.33205136,0.32826254325,0.7216861649999999,0.0662353725,0.2157040068,"Sitting on a mountaintop, meditating under a sky full of stars.",1
0.99569937,0.762672315,0.7548534250000001,0.341737139,0.069003706,"An unclear dream where time feels frozen, but emotions linger.",3
0.4220747615,0.277356018,0.5196598775,0.08912055625,0.29340632,"Sitting on a mountaintop, meditating under a sky full of stars.",1
0.677038425,0.2119066275,0.4578789374999999,0.0779886659999999,0.221923695,"A deep, dreamless sleep with faint echoes of distant voices.",1
0.468557015,0.544666485,0.5632391775000001,0.34080343,0.0303024659999999,"A peaceful dream of sitting on the beach, watching the sunset while birds fly overhead.",3
0.78521682,0.5631714275,0.3908344099999999,0.2072603,0.006352515,"A deep, dreamless sleep with faint echoes of distant voices.",3
0.164298605,0.30913341,1.0517557375000002,0.399723445,0.2912863275,"Walking through an old town, feeling nostalgic as you observe people.",0
0.5190556675000001,0.380343915,0.6349665475,0.4025803699999999,0.1061208922499999,"Reliving a cherished memory, seeing familiar faces and places.",3
0.087457875,0.05960598825,0.59920809,0.14565115475,0.102812435,"Walking through an old town, feeling nostalgic as you observe people.",2
0.19296622725,0.489851375,0.6873438675000001,0.1022739935,0.15364995415,"A peaceful dream of sitting on the beach, watching the sunset while birds fly overhead.",1
0.1270965124999999,0.08415594625,0.619376475,0.35472291,0.092775105,"Sitting on a mountaintop, meditating under a sky full of stars.",0
0.0602669525,0.0125946429999999,0.1011039275,0.1170588033,0.2379357662499999,"A thrilling dream of running through a neon-lit futuristic city, dodging obstacles.",2
0.2113295274999999,0.215813225,0.5694112775,0.1597463805,0.24162975,"Floating in a small boat on a calm lake, watching the moon reflect on the water.",1
0.525141985,0.6898921250000001,0.7308658225,0.20301561875,0.20499833625,"Walking through a tranquil forest, listening to the sound of rustling leaves.",3
0.1987471049999999,0.2133543015,0.666512605,0.137291264,0.1487474135,"Walking through a tranquil forest, listening to the sound of rustling leaves.",1
0.0049717569999999,0.1815499695,0.5802598175,0.0782238575,0.1767099145,"Standing in a lush green meadow, feeling the warm sunlight on your skin.",1
0.433900750075,0.6222572125,1.0197519375,0.48919893,0.120780728,"Floating in a small boat on a calm lake, watching the moon reflect on the water.",0
0.057261431,0.3181055775,0.7489357225,0.442924975,0.401663654,"A deep, introspective dream where thoughts flow like a gentle stream.",0
0.1470841534999999,0.24254203075,0.87739104,0.31117736,0.0466046585,"Walking through an old town, feeling nostalgic as you observe people.",0
0.2362583075,0.259536065,1.01085437,0.3613590975,0.1403519215,"Reliving a cherished memory, seeing familiar faces and places.",0
0.27954141,0.1550061525,0.5534506125,0.5035156475,0.3232806275,"A deep, introspective dream where thoughts flow like a gentle stream.",0
0.8803070075,0.6137038275,0.596464605,0.2566049515249999,0.1542539852499999,"Drifting in an endless dark space, floating weightlessly.",3
0.4210772045249999,0.4271589175,0.6379856450000001,0.3121909125,0.11163205,"Walking through a tranquil forest, listening to the sound of rustling leaves.",3
0.4375031725,0.2884598989999999,0.4580778749999999,0.1303194255,0.27048302,"Walking through an old town, feeling nostalgic as you observe people.",1
0.212340465,0.0978492025,0.23556085425,0.29943397,0.12841517425,"Exploring an ancient temple hidden deep in the jungle, filled with secrets.",2
0.117472355,0.29276941,0.5858345825,0.2673362285,0.0572068949999999,"Walking through a tranquil forest, listening to the sound of rustling leaves.",2
0.788593085,0.5006065005,0.5610323075,0.1798068975,0.1349008746749999,"A deep, dreamless sleep with faint echoes of distant voices.",3
0.094631205,0.3492778875,0.90601039,0.5082388275,0.2053537615,"A deep, introspective dream where thoughts flow like a gentle stream.",0
0.1123163135,0.3212505422,0.89159085,0.27777546875,0.0017945622499999,"Floating in a small boat on a calm lake, watching the moon reflect on the water.",0
0.1997980285,0.081765064,0.2318513299999999,0.297171921,0.12491660175,"Diving into the depths of the ocean, surrounded by glowing sea creatures.",2
0.7608612825,0.5614722425,0.7487980525,0.412953075,0.0085944082499999,"A deep, dreamless sleep with faint echoes of distant voices.",3
0.0080297665,0.12608809,0.8510876325,0.353316655,0.22857062,"Walking through an old town, feeling nostalgic as you observe people.",0
0.17879881175,0.1781189775,0.2448780435,0.264503745,0.1318244925,"Diving into the depths of the ocean, surrounded by glowing sea creatures.",2
0.7106900899999999,0.5287740775,0.7273866225000001,0.2324454975,0.07160415175,"Sitting on a mountaintop, meditating under a sky full of stars.",3
0.9070816725,0.72373595,0.7991097175,0.2982738975,0.1055577175,"Drifting in an endless dark space, floating weightlessly.",3
0.0431744212499999,0.076378821,0.0143176074999999,0.037310983,0.28804269,"Flying high above mountains, feeling the wind rushing past as you soar.",2
0.66420826,0.42714793,0.70139768,0.22873516885,0.159037185,"Walking through an old town, feeling nostalgic as you observe people.",3
0.2156971509999999,0.10193899,0.2102851949999999,0.282872636,0.14125092425,"Exploring an ancient temple hidden deep in the jungle, filled with secrets.",2
0.0769504425,0.11188818675,0.5110963424999999,0.1108816074999999,0.204151011,"Walking through an old town, feeling nostalgic as you observe people.",1
0.2982514149999999,0.2460525135,0.7665644999999999,0.4580570499999999,0.21421579675,"Sitting on a mountaintop, meditating under a sky full of stars.",0
0.4301602155,0.6311213499999999,1.01492695,0.490217774,0.123748903,"Floating in a small boat on a calm lake, watching the moon reflect on the water.",0
0.1997980285,0.081765064,0.2318513299999999,0.297171921,0.12491660175,"A thrilling dream of running through a neon-lit futuristic city, dodging obstacles.",2
0.1668516099999999,0.3482294225,0.6761253997500001,0.560357025,0.21816652225,"Reliving a cherished memory, seeing familiar faces and places.",0
0.96667442,0.773498729875,0.7930920215,0.3177041324999999,0.0850968729999999,"A strange sensation of falling into an abyss, yet feeling peaceful.",3
0.29587081,0.148513697,0.2443152224999999,0.318004235,0.097162141,"Diving into the depths of the ocean, surrounded by glowing sea creatures.",2
0.333774285,0.15314312175,0.3522300425,0.15415912875,0.3817089399999999,"Walking through an old town, feeling nostalgic as you observe people.",1
0.99701835,0.6387366525,0.4931684025,0.26529475064,0.185480335,"A deep, dreamless sleep with faint echoes of distant voices.",3
0.1148696625,0.0672339124999999,0.68640386,0.395362376,0.3359169764999999,"Sitting on a mountaintop, meditating under a sky full of stars.",0
0.2885981175,0.1356865525,0.232224145,0.3325128549999999,0.0788956482499999,"Exploring an ancient temple hidden deep in the jungle, filled with secrets.",2
